"SupportedOn","Hive","EditorDir","EditorName","Properties","Drive","Path","ADMX"
"at least Windows NetMeeting v3.0","User","Options Page","Hide the Security page","NoSecurityPage (toggle)","HKCU:\","Software\Policies\Microsoft\Conferencing","Conf.admx"
"at least Windows NetMeeting v3.0","User","Options Page","Hide the Video page","NoVideoPage (toggle)","HKCU:\","Software\Policies\Microsoft\Conferencing","Conf.admx"
"At least Windows 2000","User","Control Panel","Hide specified Control Panel items","DisallowCpl (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanel.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Control Panel","Always open All Control Panel Items when opening Control Panel","ForceClassicControlPanel (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanel.admx"
"At least Windows 2000","User","Control Panel","Prohibit access to Control Panel and PC settings","NoControlPanel (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanel.admx"
"At least Windows 2000","User","Control Panel","Show only specified Control Panel items","RestrictCpl (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanel.admx"
"At least Windows Server 2016, Windows 10 Version 1703","Both","Control Panel","Settings Page Visibility","SettingsPageVisibility (text)","Both","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanel.admx"
"At least Windows Server 2016, Windows 10 Version 1709","Computer","Control Panel","Allow Online Tips","AllowOnlineTips (boolean)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanel.admx"
"At least Windows 11","Computer","System","Hide messages when Windows system requirements are not met","HideUnsupportedHardwareNotifications (toggle)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanel.admx"
"At least Windows 2000","User","Control Panel > Display","Disable the Display Control Panel","NoDispCPL (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Display","Hide Settings tab","NoDispSettingsPage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"At least Windows 2000","User","Control Panel > Personalization","Prevent changing color and appearance","NoDispAppearancePage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"At least Windows 2000","User","Control Panel > Personalization","Prevent changing screen saver","NoDispScrSavPage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"At least Windows 2000 Service Pack 1","User","Control Panel > Personalization","Enable screen saver","ScreenSaveActive (toggle)","HKCU:\","Software\Policies\Microsoft\Windows\Control Panel\Desktop","ControlPanelDisplay.admx"
"At least Windows 2000 Service Pack 1","User","Control Panel > Personalization","Force specific screen saver","SCRNSAVE.EXE (text)","HKCU:\","Software\Policies\Microsoft\Windows\Control Panel\Desktop","ControlPanelDisplay.admx"
"At least Windows 2000 Service Pack 1","User","Control Panel > Personalization","Password protect the screen saver","ScreenSaverIsSecure (toggle)","HKCU:\","Software\Policies\Microsoft\Windows\Control Panel\Desktop","ControlPanelDisplay.admx"
"At least Windows 2000 Service Pack 1","User","Control Panel > Personalization","Screen saver timeout","ScreenSaveTimeOut (decimal)","HKCU:\","Software\Policies\Microsoft\Windows\Control Panel\Desktop","ControlPanelDisplay.admx"
"At least Windows 2000","User","Control Panel > Personalization","Prevent changing desktop background","NoChangingWallPaper (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\ActiveDesktop","ControlPanelDisplay.admx"
"At least Windows Server 2008 R2 or Windows 7","User","Control Panel > Personalization","Prevent changing sounds","NoChangingSoundScheme (toggle)","HKCU:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2008 R2 or Windows 7","User","Control Panel > Personalization","Prevent changing mouse pointers","NoChangingMousePointers (toggle)","HKCU:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows 2000","User","Control Panel > Personalization","Prevent changing desktop icons","NoDispBackgroundPage (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"Windows Server 2008, Windows Server 2003, Windows Vista, and Windows XP","User","Control Panel > Personalization","Prevent changing color scheme","NoColorChoice (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Control Panel > Personalization","Prevent changing theme","NoThemesTab (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","ControlPanelDisplay.admx"
"At least Windows Server 2008 R2 or Windows 7","Both","Control Panel > Personalization","Load a specific theme","ThemeFile (text)","Both","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Control Panel > Personalization","Prevent changing visual style for windows and buttons","NoVisualStyleChoice (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"At least Windows Server 2003 operating systems or Windows XP Professional","User","Control Panel > Personalization","Force a specific visual style file or force Windows Classic","SetVisualStyle (text)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Control Panel > Personalization","Prohibit selection of visual style font size","NoSizeChoice (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","ControlPanelDisplay.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Control Panel > Personalization","Do not display the lock screen","NoLockScreen (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Control Panel > Personalization","Prevent changing lock screen and logon image","NoChangingLockScreen (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows 10","Computer","Control Panel > Personalization","Prevent lock screen background motion","AnimateLockScreenBackground (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2012 R2, Windows 8.1 or Windows RT 8.1","Computer","Control Panel > Personalization","Prevent enabling lock screen slide show","NoLockScreenSlideshow (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2012 R2, Windows 8.1 or Windows RT 8.1","Computer","Control Panel > Personalization","Prevent enabling lock screen camera","NoLockScreenCamera (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"Windows Server 2012 R2, Windows 8.1 or Windows RT 8.1 only","Computer","Control Panel > Personalization","Force a specific background and accent color","PersonalColors_Background (text), PersonalColors_Accent (text)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2012 R2, Windows 8.1 or Windows RT 8.1","Computer","Control Panel > Personalization","Force a specific Start background","ForceStartBackground (decimal)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Control Panel > Personalization","Prevent changing start menu background","NoChangingStartMenuBackground (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Control Panel > Personalization","Force a specific default lock screen and logon image","LockScreenImage (text), LockScreenOverlaysDisabled (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\Personalization","ControlPanelDisplay.admx"
"At least Windows Vista","Computer","Control Panel > User Accounts","Apply the default account picture to all users","UseDefaultTile (toggle)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","Cpls.admx"
"At least Windows Vista","Computer","Logon","Assign a default domain for logon","DefaultLogonDomain (text)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","CredentialProviders.admx"
"At least Windows Vista","Computer","Logon","Exclude credential providers","ExcludedCredentialProviders (text)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","CredentialProviders.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Logon","Turn on convenience PIN sign-in","AllowDomainPINLogon (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\System","CredentialProviders.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Logon","Turn off picture password sign-in","BlockDomainPicturePassword (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\System","CredentialProviders.admx"
"At least Windows Server 2012, Windows 8 or Windows RT","Computer","Logon","Allow users to select when a password is required when resuming from connected standby","AllowDomainDelayLock (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\System","CredentialProviders.admx"
"At least Windows Server 2016, Windows 10","Computer","Logon","Assign a default credential provider","DefaultCredentialProvider (text)","HKLM:\","Software\Policies\Microsoft\Windows\System","CredentialProviders.admx"
"At least Windows 10","Computer","Logon","Turn on security key sign-in","EnableFIDODeviceLogon (toggle)","HKLM:\","Software\Policies\Microsoft\FIDO","CredentialProviders.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Allow delegating default credentials","AllowDefaultCredentials (toggle), ConcatenateDefaults_AllowDefault (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Allow delegating default credentials with NTLM-only server authentication","AllowDefCredentialsWhenNTLMOnly (toggle), ConcatenateDefaults_AllowDefNTLMOnly (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Allow delegating fresh credentials","AllowFreshCredentials (toggle), ConcatenateDefaults_AllowFresh (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Allow delegating fresh credentials with NTLM-only server authentication","AllowFreshCredentialsWhenNTLMOnly (toggle), ConcatenateDefaults_AllowFreshNTLMOnly (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Allow delegating saved credentials","AllowSavedCredentials (toggle), ConcatenateDefaults_AllowSaved (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Allow delegating saved credentials with NTLM-only server authentication","AllowSavedCredentialsWhenNTLMOnly (toggle), ConcatenateDefaults_AllowSavedNTLMOnly (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Deny delegating default credentials","DenyDefaultCredentials (toggle), ConcatenateDefaults_DenyDefault (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Deny delegating fresh credentials","DenyFreshCredentials (toggle), ConcatenateDefaults_DenyFresh (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Deny delegating saved credentials","DenySavedCredentials (toggle), ConcatenateDefaults_DenySaved (boolean)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Server 2012 R2, Windows 8.1 or Windows RT 8.1","Computer","System > Credentials Delegation","Restrict delegation of credentials to remote servers","RestrictedRemoteAdministration (toggle), RestrictedRemoteAdministrationType (enum)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Server 2016, Windows 10 Version 1703","Computer","System > Credentials Delegation","Remote host allows delegation of non-exportable credentials","AllowProtectedCreds (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\CredentialsDelegation","CredSsp.admx"
"At least Windows Vista","Computer","System > Credentials Delegation","Encryption Oracle Remediation","AllowEncryptionOracle (enum)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters","CredSsp.admx"
"At least Windows Vista","Computer","Windows Components > Credential User Interface","Enumerate administrator accounts on elevation","EnumerateAdministrators (toggle)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\CredUI","CredUI.admx"
"At least Windows Vista","Computer","Windows Components > Credential User Interface","Require trusted path for credential entry","EnableSecureCredentialPrompting (toggle)","HKLM:\","Software\Microsoft\Windows\CurrentVersion\Policies\CredUI","CredUI.admx"
"At least Windows Server 2012, Windows 8 or Windows RT or at least Internet Explorer 10","Both","Windows Components > Credential User Interface","Do not display the password reveal button","DisablePasswordReveal (toggle)","Both","Software\Policies\Microsoft\Windows\CredUI","CredUI.admx"
"At least Windows Server 2016, Windows 10 Version 1903","Computer","Windows Components > Credential User Interface","Prevent the use of security questions for local accounts","NoLocalPasswordResetQuestions (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\System","CredUI.admx"
"At least Windows 2000","User","System > Ctrl+Alt+Del Options","Remove Change Password","DisableChangePassword (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","CtrlAltDel.admx"
"At least Windows 2000","User","System > Ctrl+Alt+Del Options","Remove Lock Computer","DisableLockWorkstation (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","CtrlAltDel.admx"
"At least Windows 2000","User","System > Ctrl+Alt+Del Options","Remove Task Manager","DisableTaskMgr (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\System","CtrlAltDel.admx"
"At least Windows 2000","User","System > Ctrl+Alt+Del Options","Remove Logoff","NoLogoff (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","CtrlAltDel.admx"
"At least Windows Server 2016, Windows 10","Both","Windows Components > Data Collection and Preview Builds","Allow Diagnostic Data","AllowTelemetry (enum)","Both","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Data Collection and Preview Builds","Configure Connected User Experiences and Telemetry","TelemetryProxyServer (text)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Data Collection and Preview Builds","Configure the Commercial ID","CommercialId (text)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Data Collection and Preview Builds","Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service","DisableEnterpriseAuthProxy (toggle), DisableEnterpriseAuthProxy (enum)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1709","Computer","Windows Components > Data Collection and Preview Builds","Limit optional diagnostic data for Desktop Analytics","LimitEnhancedDiagnosticDataWindowsAnalytics (toggle), LimitEnhancedDiagnosticDataWindowsAnalytics (enum)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1803","Computer","Windows Components > Data Collection and Preview Builds","Allow device name to be sent in Windows diagnostic data","AllowDeviceNameInTelemetry (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1803","Computer","Windows Components > Data Collection and Preview Builds","Configure diagnostic data opt-in settings user interface","DisableTelemetryOptInSettingsUx (toggle), DisableTelemetryOptInSettingsUx (enum)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1803","Computer","Windows Components > Data Collection and Preview Builds","Configure diagnostic data opt-in change notifications","DisableTelemetryOptInChangeNotification (toggle), DisableTelemetryOptInChangeNotification (enum)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Disable deleting diagnostic data","DisableDeviceDelete (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Disable diagnostic data viewer","DisableDiagnosticDataViewer (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Configure diagnostic data upload endpoint for Desktop Analytics","ConfigureMicrosoft365UploadEndpoint (text)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Allow Update Compliance Processing","AllowUpdateComplianceProcessing (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Allow Desktop Analytics Processing","AllowDesktopAnalyticsProcessing (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Allow WUfB Cloud Processing","AllowWUfBCloudProcessing (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1809","Computer","Windows Components > Data Collection and Preview Builds","Allow commercial data pipeline","AllowCommercialDataPipeline (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1909","Computer","Windows Components > Data Collection and Preview Builds","Limit Diagnostic Log Collection","LimitDiagnosticLogCollection (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1909","Computer","Windows Components > Data Collection and Preview Builds","Limit Dump Collection","LimitDumpCollection (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1909","Computer","Windows Components > Data Collection and Preview Builds","Enable OneSettings Auditing","EnableOneSettingsAuditing (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows Server 2016, Windows 10 Version 1909","Computer","Windows Components > Data Collection and Preview Builds","Disable OneSettings Downloads","DisableOneSettingsDownloads (toggle)","HKLM:\","Software\Policies\Microsoft\Windows\DataCollection","DataCollection.admx"
"At least Windows XP Professional with SP2","Computer","Application Compatibility Settings","Allow local activation security check exemptions","AllowLocalActivationSecurityCheckExemptionList (toggle)","HKLM:\","Software\Policies\Microsoft\Windows NT\DCOM\AppCompat","DCOM.admx"
"At least Windows XP Professional with SP2","Computer","Application Compatibility Settings","Define Activation Security Check exemptions","ListBox_Support_ActivationSecurityCheckExemptionList (toggle)","HKLM:\","Software\Policies\Microsoft\Windows NT\DCOM\AppCompat","DCOM.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Download Mode","DODownloadMode (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Group ID","DOGroupId (text)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Max Cache Size (percentage)","DOMaxCacheSize (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Absolute Max Cache Size (in GB)","DOAbsoluteMaxCacheSize (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Max Cache Age (in seconds)","DOMaxCacheAge (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Monthly Upload Data Cap (in GB)","DOMonthlyUploadDataCap (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Minimum Background QoS (in KB/s)","DOMinBackgroundQos (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Modify Cache Drive","DOModifyCacheDrive (text)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Maximum Background Download Bandwidth (in KB/s)","DOMaxBackgroundDownloadBandwidth (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Maximum Foreground Download Bandwidth (in KB/s)","DOMaxForegroundDownloadBandwidth (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Maximum Background Download Bandwidth (percentage)","DOPercentageMaxBackgroundBandwidth (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Maximum Foreground Download Bandwidth (percentage)","DOPercentageMaxForegroundBandwidth (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Minimum P2P Content File Size (in MB)","DOMinFileSizeToCache (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Enable P2P while the device connects via VPN","DOAllowVPNPeerCaching (boolean)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Minimum RAM capacity (inclusive) required to enable use of P2P (in GB)","DOMinRAMAllowedToPeer (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Minimum disk size allowed to use P2P (in GB)","DOMinDiskSizeAllowedToPeer (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Allow uploads while the device is on battery while under set Battery level (percentage)","DOMinBatteryPercentageAllowedToUpload (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Cache Server Hostname","DOCacheHost (text)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Cache Server Hostname Source","DOCacheHostSource (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows 11 Version 22H2","Computer","Windows Components > Delivery Optimization","Disallow downloads from Microsoft Connected Cache servers when the device connects via VPN","DODisallowCacheServerDownloadsOnVPN (boolean)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Select the source of Group IDs","DOGroupIdSource (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Delay background download from http (in seconds)","DODelayBackgroundDownloadFromHttp (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Delay Foreground download from http (in seconds)","DODelayForegroundDownloadFromHttp (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Delay Background download Cache Server fallback (in seconds)","DODelayCacheServerFallbackBackground (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Delay Foreground download Cache Server fallback (in seconds)","DODelayCacheServerFallbackForeground (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Select a method to restrict Peer Selection","DORestrictPeerSelectionBy (enum)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows 11 Version 22H2","Computer","Windows Components > Delivery Optimization","VPN Keywords","DOVpnKeywords (text)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Set Business Hours to Limit Background Download Bandwidth","DOSetHoursToLimitBackgroundDownloadBandwidth_From (enum), DOSetHoursToLimitBackgroundDownloadBandwidth_To (enum), DOSetHoursToLimitBackgroundDownloadBandwidth_In (decimal), DOSetHoursToLimitBackgroundDownloadBandwidth_Out (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"At least Windows Server 2016, Windows 10","Computer","Windows Components > Delivery Optimization","Set Business Hours to Limit Foreground Download Bandwidth","DOSetHoursToLimitForegroundDownloadBandwidth_From (enum), DOSetHoursToLimitForegroundDownloadBandwidth_To (enum), DOSetHoursToLimitForegroundDownloadBandwidth_In (decimal), DOSetHoursToLimitForegroundDownloadBandwidth_Out (decimal)","HKLM:\","SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization","DeliveryOptimization.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Desktop > Desktop","Enable Active Desktop","ForceActiveDesktopOn (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","Desktop.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Desktop > Desktop","Disable Active Desktop","NoActiveDesktop (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","Desktop.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Desktop > Desktop","Prohibit changes","NoActiveDesktopChanges (toggle)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","Desktop.admx"
"Windows Server 2003, Windows XP, and Windows 2000 only","User","Desktop > Desktop","Add/Delete items","Add (text), Delete (text)","HKCU:\","Software\Microsoft\Windows\CurrentVersion\Policies\ActiveDesktop\AdminComponent","Desktop.admx"
